"place","species","abundance"
"Beach","red",9
"Beach","red",10
"Beach","red",8
"Beach","red",10
"Beach","red",9
"Beach","red",9
"Beach","red",9
"Beach","red",8
"Beach","red",9
"Beach","red",9
"Beach","red",9
"Beach","red",10
"Beach","red",8
"Beach","red",9
"Beach","red",10
"Beach","red",12
"Beach","red",9
"Beach","red",10
"Beach","red",9
"Beach","red",10
"Beach","red",9
"Beach","red",11
"Beach","red",12
"Beach","red",9
"Beach","red",12
"Beach","red",8
"Beach","red",10
"Beach","red",9
"Beach","red",10
"Beach","red",9
"Beach","red",10
"Beach","red",11
"Beach","red",10
"Beach","red",10
"Beach","red",9
"Beach","red",10
"Beach","red",9
"Beach","red",9
"Beach","red",8
"Beach","red",11
"Beach","red",10
"Beach","red",10
"Beach","red",10
"Beach","red",10
"Beach","red",10
"Beach","red",8
"Beach","red",9
"Beach","red",9
"Beach","red",10
"Beach","red",10
"Beach","red",9
"Beach","red",11
"Beach","red",10
"Beach","red",11
"Beach","red",8
"Beach","red",8
"Beach","red",11
"Beach","red",10
"Beach","red",8
"Beach","red",8
"Beach","red",11
"Beach","red",9
"Beach","red",9
"Beach","red",8
"Beach","red",9
"Beach","red",8
"Beach","red",9
"Beach","red",9
"Beach","red",9
"Beach","red",8
"Beach","red",10
"Beach","red",9
"Beach","red",9
"Beach","red",9
"Beach","red",11
"Beach","red",9
"Beach","red",10
"Beach","red",9
"Beach","red",10
"Beach","red",9
"Beach","red",9
"Beach","red",9
"Beach","red",10
"Beach","red",10
"Beach","red",10
"Beach","red",10
"Beach","red",9
"Beach","red",9
"Beach","red",9
"Beach","red",10
"Beach","red",8
"Beach","red",9
"Beach","red",9
"Beach","red",9
"Beach","red",9
"Beach","red",10
"Beach","red",8
"Beach","red",9
"Beach","red",10
"Beach","red",8
"Beach","green",10
"Beach","green",12
"Beach","green",12
"Beach","green",12
"Beach","green",12
"Beach","green",11
"Beach","green",12
"Beach","green",13
"Beach","green",10
"Beach","green",10
"Beach","green",11
"Beach","green",10
"Beach","green",13
"Beach","green",10
"Beach","green",11
"Beach","green",14
"Beach","green",13
"Beach","green",11
"Beach","green",11
"Beach","green",12
"Beach","green",12
"Beach","green",14
"Beach","green",12
"Beach","green",11
"Beach","green",13
"Beach","green",13
"Beach","green",13
"Beach","green",13
"Beach","green",11
"Beach","green",11
"Beach","green",13
"Beach","green",12
"Beach","green",10
"Beach","green",14
"Beach","green",13
"Beach","green",13
"Beach","green",13
"Beach","green",11
"Beach","green",12
"Beach","green",13
"Beach","green",14
"Beach","green",10
"Beach","green",10
"Beach","green",11
"Beach","green",11
"Beach","green",12
"Beach","green",11
"Beach","green",12
"Beach","green",11
"Beach","green",11
"Beach","green",11
"Beach","green",11
"Beach","green",12
"Beach","green",12
"Beach","green",11
"Beach","green",12
"Beach","green",13
"Beach","green",12
"Beach","green",12
"Beach","green",12
"Beach","green",11
"Beach","green",12
"Beach","green",12
"Beach","green",10
"Beach","green",10
"Beach","green",12
"Beach","green",12
"Beach","green",12
"Beach","green",12
"Beach","green",11
"Beach","green",12
"Beach","green",11
"Beach","green",11
"Beach","green",14
"Beach","green",13
"Beach","green",13
"Beach","green",12
"Beach","green",12
"Beach","green",11
"Beach","green",12
"Beach","green",12
"Beach","green",12
"Beach","green",14
"Beach","green",13
"Beach","green",11
"Beach","green",11
"Beach","green",10
"Beach","green",11
"Beach","green",12
"Beach","green",11
"Beach","green",11
"Beach","green",11
"Beach","green",11
"Beach","green",13
"Beach","green",12
"Beach","green",12
"Beach","green",12
"Beach","green",11
"Beach","green",11
"Beach","green",13
"Beach","blue",18
"Beach","blue",18
"Beach","blue",18
"Beach","blue",16
"Beach","blue",18
"Beach","blue",17
"Beach","blue",21
"Beach","blue",20
"Beach","blue",19
"Beach","blue",18
"Beach","blue",22
"Beach","blue",20
"Beach","blue",17
"Beach","blue",20
"Beach","blue",23
"Beach","blue",18
"Beach","blue",25
"Beach","blue",21
"Beach","blue",22
"Beach","blue",18
"Beach","blue",18
"Beach","blue",21
"Beach","blue",18
"Beach","blue",21
"Beach","blue",20
"Beach","blue",20
"Beach","blue",20
"Beach","blue",21
"Beach","blue",18
"Beach","blue",20
"Beach","blue",18
"Beach","blue",20
"Beach","blue",20
"Beach","blue",19
"Beach","blue",19
"Beach","blue",24
"Beach","blue",16
"Beach","blue",18
"Beach","blue",19
"Beach","blue",21
"Beach","blue",21
"Beach","blue",17
"Beach","blue",20
"Beach","blue",20
"Beach","blue",22
"Beach","blue",17
"Beach","blue",18
"Beach","blue",19
"Beach","blue",18
"Beach","blue",18
"Beach","blue",21
"Beach","blue",18
"Beach","blue",18
"Beach","blue",20
"Beach","blue",19
"Beach","blue",19
"Beach","blue",20
"Beach","blue",18
"Beach","blue",23
"Beach","blue",20
"Beach","blue",20
"Beach","blue",23
"Beach","blue",17
"Beach","blue",21
"Beach","blue",19
"Beach","blue",23
"Beach","blue",19
"Beach","blue",21
"Beach","blue",20
"Beach","blue",23
"Beach","blue",18
"Beach","blue",19
"Beach","blue",22
"Beach","blue",21
"Beach","blue",19
"Beach","blue",24
"Beach","blue",18
"Beach","blue",19
"Beach","blue",20
"Beach","blue",20
"Beach","blue",20
"Beach","blue",17
"Beach","blue",18
"Beach","blue",17
"Beach","blue",21
"Beach","blue",24
"Beach","blue",19
"Beach","blue",19
"Beach","blue",18
"Beach","blue",20
"Beach","blue",19
"Beach","blue",18
"Beach","blue",20
"Beach","blue",20
"Beach","blue",17
"Beach","blue",20
"Beach","blue",18
"Beach","blue",19
"Beach","blue",24
"Beach","blue",20
"Mangrove","red",21
"Mangrove","red",23
"Mangrove","red",22
"Mangrove","red",23
"Mangrove","red",22
"Mangrove","red",25
"Mangrove","red",19
"Mangrove","red",20
"Mangrove","red",17
"Mangrove","red",25
"Mangrove","red",22
"Mangrove","red",24
"Mangrove","red",23
"Mangrove","red",20
"Mangrove","red",21
"Mangrove","red",23
"Mangrove","red",20
"Mangrove","red",18
"Mangrove","red",20
"Mangrove","red",24
"Mangrove","red",20
"Mangrove","red",18
"Mangrove","red",18
"Mangrove","red",23
"Mangrove","red",25
"Mangrove","red",24
"Mangrove","red",26
"Mangrove","red",22
"Mangrove","red",28
"Mangrove","red",29
"Mangrove","red",29
"Mangrove","red",18
"Mangrove","red",14
"Mangrove","red",21
"Mangrove","red",23
"Mangrove","red",24
"Mangrove","red",24
"Mangrove","red",16
"Mangrove","red",24
"Mangrove","red",24
"Mangrove","red",19
"Mangrove","red",17
"Mangrove","red",24
"Mangrove","red",21
"Mangrove","red",26
"Mangrove","red",19
"Mangrove","red",21
"Mangrove","red",26
"Mangrove","red",23
"Mangrove","red",20
"Mangrove","red",20
"Mangrove","red",23
"Mangrove","red",19
"Mangrove","red",35
"Mangrove","red",18
"Mangrove","red",26
"Mangrove","red",25
"Mangrove","red",21
"Mangrove","red",26
"Mangrove","red",20
"Mangrove","red",17
"Mangrove","red",21
"Mangrove","red",13
"Mangrove","red",24
"Mangrove","red",23
"Mangrove","red",30
"Mangrove","red",21
"Mangrove","red",21
"Mangrove","red",15
"Mangrove","red",22
"Mangrove","red",26
"Mangrove","red",20
"Mangrove","red",18
"Mangrove","red",17
"Mangrove","red",20
"Mangrove","red",24
"Mangrove","red",19
"Mangrove","red",24
"Mangrove","red",20
"Mangrove","red",23
"Mangrove","red",27
"Mangrove","red",17
"Mangrove","red",19
"Mangrove","red",19
"Mangrove","red",22
"Mangrove","red",19
"Mangrove","red",25
"Mangrove","red",19
"Mangrove","red",21
"Mangrove","red",23
"Mangrove","red",21
"Mangrove","red",24
"Mangrove","red",21
"Mangrove","red",25
"Mangrove","red",21
"Mangrove","red",28
"Mangrove","red",27
"Mangrove","red",20
"Mangrove","red",21
"Mangrove","red",29
"Mangrove","green",3
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",3
"Mangrove","green",4
"Mangrove","green",3
"Mangrove","green",2
"Mangrove","green",2
"Mangrove","green",3
"Mangrove","green",3
"Mangrove","green",4
"Mangrove","green",3
"Mangrove","green",4
"Mangrove","green",2
"Mangrove","green",2
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",3
"Mangrove","green",3
"Mangrove","green",3
"Mangrove","green",3
"Mangrove","green",3
"Mangrove","green",3
"Mangrove","green",4
"Mangrove","green",3
"Mangrove","green",3
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",5
"Mangrove","green",3
"Mangrove","green",4
"Mangrove","green",3
"Mangrove","green",3
"Mangrove","green",4
"Mangrove","green",3
"Mangrove","green",3
"Mangrove","green",3
"Mangrove","green",4
"Mangrove","green",3
"Mangrove","green",3
"Mangrove","green",4
"Mangrove","green",5
"Mangrove","green",4
"Mangrove","green",3
"Mangrove","green",3
"Mangrove","green",3
"Mangrove","green",3
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",3
"Mangrove","green",3
"Mangrove","green",4
"Mangrove","green",3
"Mangrove","green",3
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",3
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",5
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",3
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",3
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",3
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",3
"Mangrove","green",4
"Mangrove","green",4
"Mangrove","green",3
"Mangrove","green",4
"Mangrove","green",5
"Mangrove","green",4
"Mangrove","green",3
"Mangrove","green",3
"Mangrove","green",3
"Mangrove","blue",3
"Mangrove","blue",3
"Mangrove","blue",3
"Mangrove","blue",3
"Mangrove","blue",4
"Mangrove","blue",5
"Mangrove","blue",5
"Mangrove","blue",3
"Mangrove","blue",4
"Mangrove","blue",4
"Mangrove","blue",4
"Mangrove","blue",3
"Mangrove","blue",3
"Mangrove","blue",5
"Mangrove","blue",4
"Mangrove","blue",5
"Mangrove","blue",2
"Mangrove","blue",4
"Mangrove","blue",4
"Mangrove","blue",3
"Mangrove","blue",2
"Mangrove","blue",4
"Mangrove","blue",3
"Mangrove","blue",5
"Mangrove","blue",4
"Mangrove","blue",3
"Mangrove","blue",5
"Mangrove","blue",3
"Mangrove","blue",3
"Mangrove","blue",3
"Mangrove","blue",5
"Mangrove","blue",3
"Mangrove","blue",4
"Mangrove","blue",4
"Mangrove","blue",3
"Mangrove","blue",4
"Mangrove","blue",3
"Mangrove","blue",4
"Mangrove","blue",4
"Mangrove","blue",3
"Mangrove","blue",3
"Mangrove","blue",3
"Mangrove","blue",3
"Mangrove","blue",4
"Mangrove","blue",3
"Mangrove","blue",4
"Mangrove","blue",2
"Mangrove","blue",5
"Mangrove","blue",4
"Mangrove","blue",2
"Mangrove","blue",3
"Mangrove","blue",6
"Mangrove","blue",4
"Mangrove","blue",4
"Mangrove","blue",3
"Mangrove","blue",3
"Mangrove","blue",3
"Mangrove","blue",3
"Mangrove","blue",4
"Mangrove","blue",3
"Mangrove","blue",3
"Mangrove","blue",4
"Mangrove","blue",4
"Mangrove","blue",4
"Mangrove","blue",2
"Mangrove","blue",3
"Mangrove","blue",4
"Mangrove","blue",3
"Mangrove","blue",5
"Mangrove","blue",3
"Mangrove","blue",2
"Mangrove","blue",3
"Mangrove","blue",5
"Mangrove","blue",5
"Mangrove","blue",3
"Mangrove","blue",3
"Mangrove","blue",3
"Mangrove","blue",3
"Mangrove","blue",4
"Mangrove","blue",2
"Mangrove","blue",5
"Mangrove","blue",4
"Mangrove","blue",4
"Mangrove","blue",4
"Mangrove","blue",4
"Mangrove","blue",4
"Mangrove","blue",3
"Mangrove","blue",4
"Mangrove","blue",3
"Mangrove","blue",4
"Mangrove","blue",3
"Mangrove","blue",2
"Mangrove","blue",4
"Mangrove","blue",4
"Mangrove","blue",3
"Mangrove","blue",4
"Mangrove","blue",4
"Mangrove","blue",4
"Mangrove","blue",3
"Mangrove","blue",4
"Volcano","red",4
"Volcano","red",3
"Volcano","red",4
"Volcano","red",4
"Volcano","red",5
"Volcano","red",4
"Volcano","red",4
"Volcano","red",3
"Volcano","red",4
"Volcano","red",3
"Volcano","red",4
"Volcano","red",4
"Volcano","red",7
"Volcano","red",4
"Volcano","red",3
"Volcano","red",3
"Volcano","red",4
"Volcano","red",4
"Volcano","red",2
"Volcano","red",3
"Volcano","red",3
"Volcano","red",4
"Volcano","red",4
"Volcano","red",4
"Volcano","red",4
"Volcano","red",4
"Volcano","red",3
"Volcano","red",4
"Volcano","red",3
"Volcano","red",3
"Volcano","red",4
"Volcano","red",3
"Volcano","red",4
"Volcano","red",3
"Volcano","red",3
"Volcano","red",5
"Volcano","red",3
"Volcano","red",3
"Volcano","red",3
"Volcano","red",3
"Volcano","red",4
"Volcano","red",4
"Volcano","red",3
"Volcano","red",3
"Volcano","red",5
"Volcano","red",5
"Volcano","red",3
"Volcano","red",4
"Volcano","red",4
"Volcano","red",4
"Volcano","red",3
"Volcano","red",3
"Volcano","red",4
"Volcano","red",5
"Volcano","red",3
"Volcano","red",3
"Volcano","red",3
"Volcano","red",3
"Volcano","red",3
"Volcano","red",3
"Volcano","red",4
"Volcano","red",3
"Volcano","red",4
"Volcano","red",6
"Volcano","red",4
"Volcano","red",4
"Volcano","red",3
"Volcano","red",4
"Volcano","red",3
"Volcano","red",5
"Volcano","red",3
"Volcano","red",3
"Volcano","red",3
"Volcano","red",3
"Volcano","red",4
"Volcano","red",5
"Volcano","red",4
"Volcano","red",4
"Volcano","red",3
"Volcano","red",4
"Volcano","red",5
"Volcano","red",4
"Volcano","red",4
"Volcano","red",4
"Volcano","red",3
"Volcano","red",3
"Volcano","red",3
"Volcano","red",4
"Volcano","red",4
"Volcano","red",3
"Volcano","red",3
"Volcano","red",5
"Volcano","red",2
"Volcano","red",3
"Volcano","red",3
"Volcano","red",5
"Volcano","red",4
"Volcano","red",5
"Volcano","red",3
"Volcano","red",4
"Volcano","green",20
"Volcano","green",19
"Volcano","green",18
"Volcano","green",22
"Volcano","green",21
"Volcano","green",23
"Volcano","green",23
"Volcano","green",22
"Volcano","green",22
"Volcano","green",18
"Volcano","green",21
"Volcano","green",23
"Volcano","green",22
"Volcano","green",20
"Volcano","green",23
"Volcano","green",24
"Volcano","green",23
"Volcano","green",21
"Volcano","green",22
"Volcano","green",24
"Volcano","green",21
"Volcano","green",22
"Volcano","green",18
"Volcano","green",20
"Volcano","green",24
"Volcano","green",21
"Volcano","green",22
"Volcano","green",24
"Volcano","green",23
"Volcano","green",27
"Volcano","green",17
"Volcano","green",23
"Volcano","green",20
"Volcano","green",22
"Volcano","green",22
"Volcano","green",22
"Volcano","green",17
"Volcano","green",26
"Volcano","green",23
"Volcano","green",25
"Volcano","green",20
"Volcano","green",23
"Volcano","green",20
"Volcano","green",22
"Volcano","green",24
"Volcano","green",24
"Volcano","green",22
"Volcano","green",20
"Volcano","green",24
"Volcano","green",21
"Volcano","green",21
"Volcano","green",23
"Volcano","green",18
"Volcano","green",22
"Volcano","green",22
"Volcano","green",23
"Volcano","green",21
"Volcano","green",20
"Volcano","green",23
"Volcano","green",22
"Volcano","green",23
"Volcano","green",21
"Volcano","green",22
"Volcano","green",22
"Volcano","green",21
"Volcano","green",25
"Volcano","green",23
"Volcano","green",20
"Volcano","green",27
"Volcano","green",24
"Volcano","green",20
"Volcano","green",25
"Volcano","green",20
"Volcano","green",22
"Volcano","green",20
"Volcano","green",20
"Volcano","green",24
"Volcano","green",27
"Volcano","green",18
"Volcano","green",20
"Volcano","green",18
"Volcano","green",30
"Volcano","green",22
"Volcano","green",27
"Volcano","green",18
"Volcano","green",21
"Volcano","green",20
"Volcano","green",27
"Volcano","green",20
"Volcano","green",20
"Volcano","green",19
"Volcano","green",23
"Volcano","green",24
"Volcano","green",19
"Volcano","green",24
"Volcano","green",19
"Volcano","green",20
"Volcano","green",23
"Volcano","green",29
"Volcano","green",24
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",4
"Volcano","blue",2
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",6
"Volcano","blue",3
"Volcano","blue",6
"Volcano","blue",2
"Volcano","blue",4
"Volcano","blue",6
"Volcano","blue",3
"Volcano","blue",4
"Volcano","blue",4
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",5
"Volcano","blue",3
"Volcano","blue",4
"Volcano","blue",5
"Volcano","blue",4
"Volcano","blue",3
"Volcano","blue",4
"Volcano","blue",2
"Volcano","blue",4
"Volcano","blue",4
"Volcano","blue",4
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",2
"Volcano","blue",3
"Volcano","blue",5
"Volcano","blue",5
"Volcano","blue",4
"Volcano","blue",4
"Volcano","blue",3
"Volcano","blue",4
"Volcano","blue",3
"Volcano","blue",4
"Volcano","blue",5
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",4
"Volcano","blue",3
"Volcano","blue",4
"Volcano","blue",4
"Volcano","blue",4
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",4
"Volcano","blue",5
"Volcano","blue",2
"Volcano","blue",2
"Volcano","blue",3
"Volcano","blue",4
"Volcano","blue",5
"Volcano","blue",5
"Volcano","blue",2
"Volcano","blue",4
"Volcano","blue",2
"Volcano","blue",2
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",2
"Volcano","blue",3
"Volcano","blue",4
"Volcano","blue",6
"Volcano","blue",5
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",5
"Volcano","blue",2
"Volcano","blue",4
"Volcano","blue",3
"Volcano","blue",4
"Volcano","blue",4
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",4
"Volcano","blue",4
"Volcano","blue",2
"Volcano","blue",2
"Volcano","blue",4
"Volcano","blue",3
"Volcano","blue",3
"Volcano","blue",2
"Volcano","blue",4
